video,joint,frame_since_strike,cycle_mean_deg,norm_mean_deg,delta_deg,inlier_cycle_count,total_cycle_count,max_cycle_length
1,right_ankle,121,118.62403834027275,-11.010951807228912,129.63499014750167,6,7,166
1,right_ankle,122,118.3827841618244,-10.523108433734938,128.90589259555935,6,7,166
1,right_ankle,123,118.1145730914716,-10.034198795180721,128.14877188665233,6,7,166
1,right_ankle,124,117.82187422643796,-9.544566265060237,127.3664404914982,6,7,166
1,right_ankle,125,117.50754740803423,-9.060415662650598,126.56796307068483,6,7,166
1,right_ankle,126,117.17469528368206,-8.580650602409637,125.75534588609169,6,7,166
1,right_ankle,127,116.82756164614155,-8.113084337349397,124.94064598349094,6,7,166
1,right_ankle,128,116.47018044923645,-7.659012048192771,124.12919249742922,6,7,166
1,right_ankle,129,116.1062911309747,-7.215301204819279,123.32159233579398,6,7,166
1,right_ankle,130,115.74087908762034,-6.800746987951807,122.54162607557215,6,7,166
1,right_ankle,131,115.37919656988588,-6.398819277108432,121.77801584699431,6,7,166
1,right_ankle,132,115.02615462802453,-6.030253012048188,121.05640764007272,6,7,166
1,right_ankle,133,114.6876314047502,-5.688506024096383,120.37613742884659,6,7,166
1,right_ankle,134,114.36798733913948,-5.3700361445783145,119.7380234837178,6,7,166
1,right_ankle,135,114.07173053288017,-5.102771084337349,119.17450161721752,6,7,166
1,right_ankle,136,113.80337929097225,-4.856192771084336,118.65957206205658,6,7,166
1,right_ankle,137,113.56605945922286,-4.664753012048191,118.23081247127105,6,7,166
1,right_ankle,138,113.36293315506818,-4.512168674698795,117.87510182976698,6,7,166
1,right_ankle,139,113.19779438743234,-4.39766265060241,117.59545703803475,6,7,166
1,right_ankle,140,113.07358322686036,-4.353301204819277,117.42688443167964,6,7,166
1,right_ankle,141,112.99074323957929,-4.337668674698795,117.32841191427808,6,7,166
1,right_ankle,142,112.95098621427492,-4.401481927710844,117.35246814198577,6,7,166
1,right_ankle,143,112.95470858242055,-4.513993975903616,117.46870255832417,6,7,166
1,right_ankle,144,113.00139720786531,-4.680385542168675,117.68178275003399,6,7,166
1,right_ankle,145,113.09047931499208,-4.9343433734939754,118.02482268848605,6,7,166
1,right_ankle,146,113.22254208097438,-5.2249277108433745,118.44746979181775,6,7,166
1,right_ankle,147,113.39479569422853,-5.620331325301208,119.01512701952974,6,7,166
1,right_ankle,148,113.60503403183266,-6.072457831325305,119.67749186315797,6,7,166
1,right_ankle,149,113.84995427506038,-6.595487951807226,120.44544222686761,6,7,166
1,right_ankle,150,114.12667596532903,-7.222903614457829,121.34957957978686,6,7,166
1,right_ankle,151,114.43162109193543,-7.8950843373494,122.32670542928483,6,7,166
1,right_ankle,152,114.7606841593428,-8.699012048192778,123.45969620753559,6,7,166
1,right_ankle,153,115.11014419729851,-9.566168674698808,124.67631287199731,6,7,166
1,right_ankle,154,115.47469388041459,-10.522771084337368,125.99746496475196,6,7,166
1,right_ankle,155,115.84992820952931,-11.598548192771098,127.4484764023004,6,7,166
1,right_ankle,156,116.23180814120808,-12.727036144578316,128.9588442857864,6,7,166
1,right_ankle,157,116.61687425222651,-14.01463253012049,130.631506782347,6,7,166
1,right_ankle,158,116.99970824510525,-15.37090361445785,132.3706118595631,6,7,166
1,right_ankle,159,117.37645491435046,-16.837415662650628,134.2138705770011,6,7,166
1,right_ankle,160,117.7434613855482,-18.435915662650622,136.17937704819883,6,7,166
1,right_ankle,161,118.09769840778064,-20.095024096385547,138.1927225041662,6,7,166
1,right_ankle,162,118.43635766047316,-21.943819277108446,140.3801769375816,6,7,166
1,right_ankle,163,118.75694654871127,-23.864933734939783,142.62188028365105,6,7,166
1,right_ankle,164,119.05728902536164,-25.918289156626543,144.97557818198817,6,7,166
1,right_ankle,165,119.33552201667544,-28.11533132530123,147.45085334197668,6,7,166
2,right_ankle,0,124.97142934307054,0.0,124.97142934307054,4,8,166
2,right_ankle,1,125.08989477440369,-0.4455,125.53539477440368,4,8,166
2,right_ankle,2,125.17915504301415,-0.8883012048192771,126.06745624783342,4,8,166
2,right_ankle,3,125.23845893281609,-1.3254518072289156,126.563910740045,4,8,166
2,right_ankle,4,125.26732640714066,-1.7506506024096387,127.0179770095503,4,8,166
2,right_ankle,5,125.26554279513147,-2.169313253012048,127.43485604814352,4,8,166
2,right_ankle,6,125.23314828740519,-2.561951807228916,127.79510009463411,4,8,166
2,right_ankle,7,125.1677928517934,-2.9434698795180725,128.11126273131146,4,8,166
2,right_ankle,8,125.07231239602984,-3.3001084337349393,128.3724208297648,4,8,166
2,right_ankle,9,124.94736669862861,-3.6288192771084335,128.57618597573705,4,8,166
2,right_ankle,10,124.79350880036768,-3.940132530120482,128.73364133048815,4,8,166
2,right_ankle,11,124.61190023515258,-4.201584337349398,128.81348457250198,4,8,166
2,right_ankle,12,124.40406843707848,-4.443373493975904,128.8474419310544,4,8,166
2,right_ankle,13,124.16914659976098,-4.638987951807229,128.8081345515682,4,8,166
2,right_ankle,14,123.9098219131777,-4.792674698795181,128.70249661197286,4,8,166
2,right_ankle,15,123.62776528191682,-4.916722891566265,128.54448817348307,4,8,166
2,right_ankle,16,123.32391923793621,-4.9675783132530125,128.29149755118922,4,8,166
2,right_ankle,17,122.99912280171276,-4.99116265060241,127.99028545231516,4,8,166
2,right_ankle,18,122.65384402622794,-4.948819277108433,127.60266330333637,4,8,166
2,right_ankle,19,122.2867363525769,-4.861415662650602,127.1481520152275,4,8,166
2,right_ankle,20,121.89935090477675,-4.737963855421687,126.63731476019844,4,8,166
2,right_ankle,21,121.49285192446284,-4.550048192771084,126.04290011723393,4,8,166
2,right_ankle,22,121.0672823479506,-4.3395060240963845,125.40678837204698,4,8,166
2,right_ankle,23,120.62296544662145,-4.074710843373493,124.69767628999494,4,8,166
2,right_ankle,24,120.15988076400856,-3.7782771084337345,123.9381578724423,4,8,166
2,right_ankle,25,119.67623053788844,-3.453246987951806,123.12947752584024,4,8,166
2,right_ankle,26,119.17252110191839,-3.08267469879518,122.25519580071357,4,8,166
2,right_ankle,27,118.65031615051961,-2.6958795180722888,121.3461956685919,4,8,166
2,right_ankle,28,118.11007244016086,-2.2700602409638555,120.38013268112472,4,8,166
2,right_ankle,29,117.55231037032823,-1.8247590361445782,119.37706940647281,4,8,166
